Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,source_id_family,source_name_family,ag12b_06,ag12b_08,ag12b_09
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",xcn3a9uEQZB,2015-08-08T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qP3BigSRj28,2014-08-12T00:00:00Z,5,RADIO,,2,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",tQBVYhTSUx5,2014-10-06T00:00:00Z,6a,MARKET WOMEN / MIDDLEMEN,,2,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",PuLRmEWBe78,2014-10-07T00:00:00Z,6a,MARKET WOMEN / MIDDLEMEN,,2,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",sAJq9uruKa3,2014-08-11T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",An4VyekaKi6,2015-08-10T00:00:00Z,6a,MARKET WOMEN / MIDDLEMEN,,2,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",eBi2TWWBfPA,2015-08-11T00:00:00Z,6a,MARKET WOMEN / MIDDLEMEN,,2,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",i6gRP4KTv4B,2015-08-04T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ERzfUDJvVr5,2015-08-30T00:00:00Z,7,NEIGHBOUR,,2,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,5,RADIO,,2,
