"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","source_id_family","source_name_family","ag12b_06","ag12b_08","ag12b_09"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","5","RADIO",NA,2,NA
"3","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","kLYaJ3DYGC7","2014-09-22T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"4","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","5","RADIO",NA,2,NA
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"6","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","KaNq8vjzJV5","2014-08-19T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","dVULAjf4W89","2015-02-18T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"10","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"11","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","ZsXLTqgEPA2","2015-04-27T00:00:00Z","1","MINISTRY OF FOOD & AGRICULTURE (MOFA)",NA,1,2
"12","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","9M4qT2DMJj","2014-08-27T00:00:00Z","9","CHIEF FARMER",NA,2,NA
"13","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","9M4qT2DMJj","2014-08-27T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"14","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"15","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z","3a","COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs)",NA,2,NA
"16","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"17","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"18","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","WWKohq5CDc4","2014-09-02T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"19","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","NqtNJxp3qaB","2014-08-28T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"20","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","7","NEIGHBOUR",NA,2,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"22","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","aC1Yp9Vbbb9","2014-12-16T00:00:00Z","6a","MARKET WOMEN / MIDDLEMEN",NA,2,NA
"23","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","bnNcJ3bknL7","2015-02-17T00:00:00Z","5","RADIO",NA,2,NA
