Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,source_id,source_name,sourceid,ag12a_02_1,ag12a_02_2,ag12a_02_3,ag12a_02_4,ag12a_02_5,ag12a_02_6,ag12a_03,ag12a_04,ag12a_05
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",An4VyekaKi6,2015-08-10T00:00:00Z,1,MINISTRY OF AGRICULTURE,,1,2,1,2,2,2,1,2,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",2tw7sF6jPB4,2015-08-31T00:00:00Z,1,MINISTRY OF AGRICULTURE,,1,2,2,2,1,1,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",JsmhauRP8E9,2014-08-14T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,1,1,2,2,,2,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",dyd2EZBuR66,2014-08-14T00:00:00Z,3a,COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs),,1,2,1,2,1,,1,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",kRcrpHwnrk4,2014-08-12T00:00:00Z,3,COOPERATIVE,,1,2,2,2,2,,2,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",nZ3uwA7syq7,2014-08-12T00:00:00Z,2,NGO,,1,1,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",MG8Mg2FAfw4,2015-09-09T00:00:00Z,1,MINISTRY OF AGRICULTURE,,1,2,2,2,2,2,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",GZButysJgS4,2013-10-16T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,1,1,2,2,,2,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",fUSEvjoZCe,2014-08-11T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",UDim1j4z9K9,2014-08-13T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",MqCGGaKzuz2,2014-08-11T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",tWqyJcJmuN5,2014-08-12T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,1,2,1,,1,2,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",B7g3YrTCTUB,2014-08-16T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",udWPUwFP172,2014-08-13T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,1,1,2,1,,1,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",PZ5Q2bVsEX8,2014-08-12T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",LwsCZHjGPqA,2014-09-13T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,2,2,1,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",g2ZqebmF5z8,2014-08-13T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",onwJq3WmHg2,2014-08-12T00:00:00Z,4,LARGE SCALE FARMER/OUTGROWERS,,1,2,2,2,2,,2,2,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6s9v6agXWi3,2014-08-13T00:00:00Z,3a,COMMUNITY BASED FARMER'S ORGANISATIONS (CBOs)/FARMER BASED ORGANISATIONS (FBOs),,1,2,2,2,2,,1,2,
