Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Crop ID,Crop name,ag4a_01,ag4a_02,ag4a_04,ag4a_05,ag4a_05_other,ag4a_vs_5a,ag4a_vs_5a_day,ag4a_vs_5a_month,ag4a_vs_5a_year,ag4a_06,ag4a_08,ag4a_15,ag4a_15_unit,ag4a_16,ag4a_19,ag4a_21,ag4a_23
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",R5nJaf2Sop9,2015-10-07T00:00:00Z,M2,short_rainy,31,Beans,1,,2,,,2014-09-01,1.0,9.0,2014.0,2,,,,,1,3000.0,1
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",UVBzkFMeZz9,2016-07-25T00:00:00Z,M1,short_rainy,11,Maize,2,2,1,2a,,2014-09-01,1.0,9.0,2014.0,1,0.1875,30.0,1,3000.0,2,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8LgQmjxaed7,2016-08-20T00:00:00Z,M2,long_rainy,13,Sorghum,1,,2,,,2016-03-01,1.0,3.0,2016.0,1,0.3,20.0,1,4000.0,2,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",2AzeKX3Xdj9,2015-12-11T00:00:00Z,M2,short_rainy,11,Maize,1,,2,,,2014-10-01,1.0,10.0,2014.0,1,0.1704,15.0,1,2500.0,2,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",hXCHXcG2W46,2016-02-01T00:00:00Z,M3,short_rainy,11,Maize,1,,1,1,,2016-09-15,15.0,9.0,2016.0,1,,60.0,1,9000.0,1,1200.0,2
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8rMnuSjsKfA,2016-08-23T00:00:00Z,M2,short_rainy,31,Beans,1,,1,2a,,2015-10-01,1.0,10.0,2015.0,1,0.2,70.0,1,21000.0,1,4600.0,1
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",xAHNqyKKrL4,2016-05-24T00:00:00Z,M3,long_rainy,23,Irish potatoes,1,,2,,,2014-03-01,1.0,3.0,2014.0,1,0.15,200.0,1,20000.0,1,14000.0,1
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",J2FX8wXV8S9,2016-07-26T00:00:00Z,M1,long_rainy,23,Irish potatoes,2,3,1,1,,2014-02-01,1.0,2.0,2014.0,1,0.75,100.0,1,10000.0,1,2500.0,2
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",AoyYjSvsgJA,2016-03-01T00:00:00Z,M2,short_rainy,11,Maize,1,,2,,,2014-08-01,1.0,8.0,2014.0,1,0.1125,50.0,1,12500.0,2,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",AVbrhtAbDP5,2016-02-16T00:00:00Z,M3,short_rainy,55,Tea,1,,2,,,2016-09-01,1.0,9.0,2016.0,1,0.6,520.0,1,36400.0,2,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",7HuaMEgyTz4,2016-05-28T00:00:00Z,M2,short_rainy,23,Irish potatoes,1,,2,,,2014-11-01,1.0,11.0,2014.0,1,0.6,400.0,1,56000.0,2,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",5s4t5icCN2,2016-07-16T00:00:00Z,M2,long_rainy,31,Beans,1,,2,,,2014-02-01,1.0,2.0,2014.0,2,,,,,2,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",KeSq3y3A1h4,2016-01-13T00:00:00Z,M2,long_rainy,22,Sweet Potatoes,1,,2,,,2014-01-01,1.0,1.0,2014.0,1,0.03,300.0,1,24000.0,2,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",cuVuG6WmhC5,2016-02-11T00:00:00Z,M1,short_rainy,11,Maize,1,,2,,,2014-09-14,14.0,9.0,2014.0,1,0.4,300.0,1,75000.0,1,1400.0,2
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",zywmeprmCJ6,2016-08-24T00:00:00Z,M1,long_rainy,11,Maize,1,,1,2a,,2016-02-01,1.0,2.0,2016.0,1,0.3,20.0,1,5000.0,2,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",voQqwNL5SR4,2016-03-03T00:00:00Z,M1,long_rainy,23,Irish potatoes,1,,1,1,,2014-03-12,12.0,3.0,2014.0,1,,1650.0,1,132000.0,2,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",YVG8nKF7bC4,2015-12-05T00:00:00Z,M4,short_rainy,71b,Banana Beer,1,,1,2a,,2015-01-01,1.0,1.0,2015.0,1,0.2261,300.0,1,30000.0,2,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",XXFzjtd2A8,2016-10-15T00:00:00Z,M2,short_rainy,22,Sweet Potatoes,1,,2,,,2016-09-15,15.0,9.0,2016.0,1,,120.0,1,16000.0,2,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",AvkkCXoYrg8,2016-10-16T00:00:00Z,M1,short_rainy,31,Beans,,,,,,2016-05-16,16.0,5.0,2016.0,,,,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",Ag8CWapFXT9,2015-12-05T00:00:00Z,M2,short_rainy,22,Sweet Potatoes,1,,2,,,2014-09-01,1.0,9.0,2014.0,1,0.15,200.0,1,40000.0,1,10000.0,1
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",R9DTr4peJNA,2015-11-04T00:00:00Z,M2,short_rainy,31,Beans,1,,1,2a,,2014-09-01,1.0,9.0,2014.0,1,5.0,60.0,1,15000.0,1,900.0,1
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",vdieyWj8obA,2015-11-07T00:00:00Z,M2,long_rainy,21,Cassava,1,,2,,,2014-01-01,1.0,1.0,2014.0,2,,,,,2,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",mDLfcyhvBu,2016-01-12T00:00:00Z,M4,long_rainy,22,Sweet Potatoes,1,,2,,,2014-02-01,1.0,2.0,2014.0,1,0.0808,150.0,1,8000.0,2,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",M8qxpz4tTs2,2016-01-28T00:00:00Z,M3,short_rainy,31,Beans,2,3,2,,,2014-09-01,1.0,9.0,2014.0,1,0.45,150.0,1,45000.0,2,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",PGN47oqwcT6,2016-10-10T00:00:00Z,M3,short_rainy,21,Cassava,1,,2,,,2016-01-16,16.0,1.0,2016.0,2,,,,,2,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",5AjH6QaGU24,2016-02-15T00:00:00Z,M3,long_rainy,23,Irish potatoes,2,3,2,,,2014-03-01,1.0,3.0,2014.0,1,,40.0,1,2400.0,1,3600.0,1
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",QUACw1VqWL2,2015-11-17T00:00:00Z,M2,short_rainy,31,Beans,2,3,1,2a,,2014-10-01,1.0,10.0,2014.0,1,0.25,150.0,1,67500.0,1,2350.0,1
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",gtdvY5R76A5,2016-01-27T00:00:00Z,M1,long_rainy,23,Irish potatoes,1,,1,2a,,2014-02-01,1.0,2.0,2014.0,1,0.025,40.0,1,6000.0,2,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",CxdDadFVXS7,2016-10-21T00:00:00Z,M3,short_rainy,11,Maize,1,,1,2a,,2016-09-15,15.0,9.0,2016.0,1,,70.0,1,14000.0,2,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",C3b2zHKsNU3,2016-08-24T00:00:00Z,M2,short_rainy,43,Groundnut,1,,2,,,2015-09-01,1.0,9.0,2015.0,1,0.1875,10.0,1,7000.0,1,4000.0,1
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",TYoYR9fk5v3,2016-08-17T00:00:00Z,M2,short_rainy,31,Beans,1,,1,2a,,2015-10-01,1.0,10.0,2015.0,1,0.2,160.0,1,48000.0,2,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",XrphaE61Jh6,2016-03-04T00:00:00Z,M2,long_rainy,11,Maize,1,,2,,,2014-02-01,1.0,2.0,2014.0,1,0.2,70.0,1,14000.0,1,5400.0,1
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",bW7iZTf8uW7,2016-11-30T00:00:00Z,M2,long_rainy,23,Irish potatoes,1,,1,2a,,2016-12-15,15.0,12.0,2016.0,1,,200.0,1,20000.0,2,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rP7DxqhNrW3,2016-07-19T00:00:00Z,M1,short_rainy,31,Beans,1,,2,,,2014-10-01,1.0,10.0,2014.0,1,0.875,200.0,1,50000.0,2,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",z7c7QHaTTe7,2016-05-27T00:00:00Z,M4,long_rainy,52,Pyrethrum,1,,2,,,2014-04-01,1.0,4.0,2014.0,1,0.25,5.0,1,1000.0,2,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",5DkfDPaXxW6,2015-11-13T00:00:00Z,M6,short_rainy,31,Beans,,,,,,2016-05-15,15.0,5.0,2016.0,,,,,,,,
